nmc_nmcpin,nmc_nmctitlename,nmc_firstname,nmc_maidenname,nmc_lastname,nmc_dateofbirth,nmc_gender,nmc_nationalityname,nmc_countryofbirthname,nmc_email,nmc_addressline1,nmc_addressline2,nmc_addressline3,nmc_city,nmc_postcode,nmc_countryname,nmc_traininginstitutecode,nmc_trainingtype,nmc_programme,nmc_academicroute,nmc_coursestartdate,nmc_courseenddate,nmc_trainingexampassdate,nmc_trainingstartdate,nmc_trainingcompletiondate
26H0524E,Mrs,ROSE 224,OBI,LEE,19870517,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 224,BLACON,,CHESTER,CM165JX,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0493E,Miss,ROSE 225,,LEE,19881227,F,British,Wales,2211471@uknmc.org,London Road 225,LLANDUDNO JUNCTION,,Woodford,CM169ER,Wales,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20200914,20260812
26H0478E,Miss,ROSE 226,,LEE,19900909,F,British,England,2211471@uknmc.org,London Road 226,LIVERPOOL,MERSEYSIDE,Woodford,CM167LB,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20240919,20260812
26H0494E,Miss,ROSE 227,,LEE,20050805,F,British,England,2211471@uknmc.org,London Road 227,FRECKLETON,PRESTON,LANCASHIRE,CM161TF,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0479E,Miss,ROSE 228,,LEE,20031014,F,British,England,2211471@uknmc.org,London Road 228,COLLINS GREEN,WARRINGTON,Woodford,CM164DS,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0438E,Miss,ROSE 229,,LEE,20050617,F,British,England,2211471@uknmc.org,London Road 229,WIRRAL,MERSEYSIDE,Woodford,CM167SF,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0495E,Miss,ROSE 230,PAYNE,LEE,20050202,F,British,England,2211471@uknmc.org,London Road 230,SHAWBURY,SHREWSBURY,Woodford,CM164HJ,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0496E,Miss,ROSE 231,,LEE,19970809,F,British,England,2211471@uknmc.org,London Road 231,OLD SWAN,,LIVERPOOL,CM165SP,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20210920,20260812
26H0500E,Miss,ROSE 232,,LEE,20040413,F,British,England,2211471@uknmc.org,London Road 232,GREAT SUTTON,ELLESMERE PORT,MERSEYSIDE,CM162XB,England,1315,R,AC,M Nurs,20200901,20290901,20260812,20220919,20260812
26H0480E,Miss,ROSE 233,,LEE,19960424,F,British,England,2211471@uknmc.org,London Road 233,GREAT SUTTON,ELLESMERE PORT,CHESHIRE,CM167BP,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0481E,Mrs,ROSE 234,,LEE,19740421,F,British,Nigeria,2211471@uknmc.org,London Road 234,LEIGH,GREATER MANCHESTER,Woodford,CM162YZ,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0498E,Ms,ROSE 235,CULSHAW,LEE,19710628,F,British,England,2211471@uknmc.org,London Road 235,SKELMERSDALE,LANCASHIRE,UNITED KINGDOM,CM168HP,England,1315,R,NAA,Level 5,20200901,20290901,20260812,20240304,20260812
26H0439E,Mr,ROSE 236,SHENNAN,LEE,20021208,M,British,England,2211471@uknmc.org,London Road 236,WALLASEY,,Woodford,CM167NJ,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0501E,Miss,ROSE 237,,LEE,20010911,F,British,England,2211471@uknmc.org,London Road 237,PARK ROAD SOUTH,NEWTON-LE-WILLOWS,MERSEYSIDE,CM168PE,England,1315,R,AC,M Nurs,20200901,20290901,20260812,20200914,20260812
26H0440E,Miss,ROSE 238,,LEE,19910630,F,British,England,2211471@uknmc.org,London Road 238,SALE,GREATER MANCHESTER,Woodford,CM164GR,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0441E,Miss,ROSE 239,,LEE,20040719,F,British,England,2211471@uknmc.org,London Road 239,NETHERTHONG,HOLMFIRTH,WEST YORKSHIRE,CM163XN,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0482E,Miss,ROSE 240,,LEE,20031230,F,British,England,2211471@uknmc.org,London Road 240,CREWE,,Woodford,CM164RP,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0442E,Mrs,ROSE 241,VISINSKAITE,LEE,19800211,F,Lithuanian,Lithuania,2211471@uknmc.org,London Road 241,RHYL,DENBIGHSHIRE,Woodford,CM164NZ,Wales,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0483E,Mrs,ROSE 242,FLORECE,LEE,19700717,F,British,Philippines,2211471@uknmc.org,London Road 242,ROMILEY,STOCKPORT,GREATER MANCHESTER,CM163DA,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0525E,Miss,ROSE 243,,LEE,20000420,F,Indian,India,2211471@uknmc.org,London Road 243,,,OSWESTRY,CM161QZ,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0526E,Mr,ROSE 244,,LEE,20000501,M,Nepalese,Nepal,2211471@uknmc.org,London Road 244,LITTLE NESTON,,NESTON,CM164DF,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0512E,Miss,ROSE 245,,LEE,19980221,F,British,England,2211471@uknmc.org,London Road 245,BEECHWOOD,RUNCORN,CHESHIRE,CM163JF,England,1315,R,ML,M Nurs,20200901,20290901,20260812,20220919,20260812
26H0510E,Mrs,ROSE 246,,LEE,19770524,F,British,India,2211471@uknmc.org,London Road 246,PRENTON,MERSEYSIDE,Woodford,CM160TR,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0484E,Miss,ROSE 247,,LEE,20050802,F,British,England,2211471@uknmc.org,London Road 247,WILLASTON,NANTWICH,CHESHIRE,CM166QR,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0497E,Miss,ROSE 248,,LEE,19941120,F,British,England,2211471@uknmc.org,London Road 248,WIDNES,CHESHIRE,Woodford,CM168BD,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0527E,Ms,ROSE 249,,LEE,20010517,F,Cameroonian,Cameroon,2211471@uknmc.org,London Road 249,35B PARKGATE ROAD,,CHESTER,CM164AG,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0486E,Miss,ROSE 250,,LEE,19851016,F,British,England,2211471@uknmc.org,London Road 250,WIRRAL,MERSEYSIDE,Woodford,CM167UA,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0485E,Miss,ROSE 251,,LEE,19920505,F,British,Isle of Man,2211471@uknmc.org,London Road 251,4 MARINE PARADE,PEEL,Woodford,CM161PB,Isle of Man,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0443E,Miss,ROSE 252,SMITH,LEE,20020614,F,British,England,2211471@uknmc.org,London Road 252,LITTLE SUTTON,ELLESMERE PORT,Woodford,CM164TL,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
